price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
35.0,220.0,3.0,5.0,0,0,0,0,Nhà trong hẻm,2.5,18.0,Tây Hồ
14.1,60.0,3.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,7.0,Tây Hồ
39.0,140.0,1.0,2.0,1,1,1,1,Nhà mặt phố,15.0,7.2,Tây Hồ
1.7,47.0,2.0,2.0,0,0,0,0,Căn hộ chung cư,10.0,3.5,Đông Anh
36.0,200.0,1.0,1.0,1,1,1,1,Nhà mặt phố,15.0,8.0,Ba Đình
7.95,56.0,4.0,9.0,0,0,0,0,Nhà trong hẻm,6.0,5.834717791411043,Nam Từ Liêm
2.8,85.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.0,Ngoại thành
17.5,55.0,7.0,5.0,1,1,1,1,Nhà mặt phố,14.0,4.0,Hà Đông
7.0,38.0,4.0,4.0,0,0,0,0,Nhà mặt phố,4.0,4.0,Ngoại thành
31.0,76.0,7.0,6.0,0,0,0,0,Nhà mặt phố,5.5,5.834717791411043,Cầu Giấy
14.5,65.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Hai Bà Trưng
88.0,151.0,5.0,4.0,1,1,1,1,Nhà mặt phố,30.0,5.834717791411043,Cầu Giấy
56.8,71.0,5.0,5.0,1,1,1,1,Nhà mặt phố,30.0,4.8,Tây Hồ
4.7,72.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.0,Đông Anh
17.3,52.0,5.0,4.0,1,1,1,1,Nhà mặt phố,16.0,4.0,Hà Đông
9.8,54.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.0,4.5,Hai Bà Trưng
43.5,128.0,5.0,5.0,1,1,1,1,Nhà mặt phố,60.0,8.0,Thanh Xuân
9.0,50.0,6.0,5.0,0,0,0,0,Nhà trong hẻm,6.0,4.0,Long Biên
7.7,42.0,5.0,4.0,1,1,1,0,Nhà trong hẻm,3.0,3.7,Hà Đông
6.2,78.0,3.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,4.3,Gia Lâm
41.5,140.0,5.0,5.0,0,0,0,0,Nhà mặt phố,12.0,8.0,Nam Từ Liêm
29.5,75.0,7.0,6.0,0,0,0,0,Nhà trong hẻm,8.0,5.834717791411043,Long Biên
10.7,43.0,5.0,8.0,1,1,1,0,Nhà trong hẻm,8.498443223443223,5.834717791411043,Thanh Xuân
8.2,37.0,6.0,10.0,1,1,1,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Nam Từ Liêm
85.0,237.0,2.0,2.0,0,0,0,0,Nhà mặt phố,32.0,5.8,Tây Hồ
29.7,109.0,4.0,4.0,0,0,0,0,Nhà mặt phố,8.5,5.834717791411043,Hà Đông
8.6,60.0,3.0,3.0,1,1,1,1,Nhà trong hẻm,4.0,6.0,Tây Hồ
5.25,35.0,4.0,3.0,1,1,1,0,Nhà trong hẻm,2.5,3.3,Hà Đông
10.0,40.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,6.0,4.0,Hai Bà Trưng
6.8,37.0,4.0,4.0,0,1,1,0,Nhà mặt phố,3.0,5.834717791411043,Thanh Xuân
8.95,55.0,4.0,5.0,0,0,0,0,Nhà trong hẻm,5.0,5.834717791411043,Nam Từ Liêm
26.0,150.0,3.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,7.0,Ba Đình
18.7,110.0,3.0,4.0,1,1,1,1,Nhà mặt phố,7.0,5.0,Long Biên
32.5,91.0,5.0,4.0,0,0,0,0,Nhà mặt phố,15.0,5.834717791411043,Đống Đa
12.5,50.0,4.0,4.0,0,0,0,1,Nhà mặt phố,3.5,5.834717791411043,Đống Đa
9.9,152.0,1.0,4.0,1,1,1,1,Căn hộ chung cư,8.498443223443223,10.0,Long Biên
17.0,60.0,8.0,14.0,0,0,0,0,Nhà mặt phố,8.498443223443223,7.0,Tây Hồ
6.0,35.0,5.0,4.0,1,1,1,0,Nhà mặt phố,3.0,5.834717791411043,Bắc Từ Liêm
7.55,45.0,7.0,7.0,0,0,0,0,Nhà mặt phố,2.5,5.834717791411043,Nam Từ Liêm
5.4,40.0,5.0,4.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Nam Từ Liêm
29.0,144.0,4.0,4.0,1,1,1,1,Nhà mặt phố,25.0,6.0,Hà Đông
2.1,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.64,Ngoại thành
