price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
26.0,168.0,5.0,4.0,0,0,0,1,Nhà mặt phố,15.0,11.0,Long Biên
8.0,35.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Đống Đa
10.9,45.0,5.0,5.0,0,0,0,0,Nhà mặt phố,2.8,5.180580675868634,Ba Đình
24.5,60.0,1.0,1.0,0,0,0,0,Nhà mặt phố,20.0,4.0,Cầu Giấy
7.5,81.0,1.0,2.0,0,0,0,0,Căn hộ chung cư,8.0,5.180580675868634,Bắc Từ Liêm
14.6,48.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.180580675868634,Tây Hồ
24.6,65.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.180580675868634,Cầu Giấy
10.5,64.0,1.0,1.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Cầu Giấy
5.65,79.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,8.0,Ngoại thành
13.0,40.0,6.0,4.0,0,0,0,0,Nhà mặt phố,2.0,5.180580675868634,Đống Đa
14.0,36.0,6.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Thanh Xuân
7.6,51.0,2.0,2.0,1,1,0,1,Nhà trong hẻm,2.5,3.7,Hai Bà Trưng
9.7,40.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,2.5,7.0,Ba Đình
13.9,64.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,5.0,4.1,Thanh Xuân
13.8,70.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Nam Từ Liêm
12.8,70.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Nam Từ Liêm
12.6,85.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Nam Từ Liêm
14.0,52.0,4.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.180580675868634,Nam Từ Liêm
3.6,49.0,3.0,3.0,1,1,1,0,Nhà mặt phố,3.5,4.0,Đông Anh
3.7,70.0,5.0,4.0,0,0,0,0,Nhà mặt phố,8.0,4.0,Đông Anh
2.85,47.0,1.0,4.0,0,0,0,0,Nhà mặt phố,3.5,4.3,Đông Anh
8.5,30.0,6.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.4,Hoàng Mai
5.2,40.0,5.0,5.0,1,1,1,1,Nhà mặt phố,3.0,5.180580675868634,Nam Từ Liêm
3.4,92.0,5.0,4.0,0,0,0,0,Nhà mặt phố,2.0,4.1,Gia Lâm
3.6,40.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.5,Gia Lâm
3.9,40.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.0,6.0,Gia Lâm
6.95,38.0,6.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.180580675868634,Hoàng Mai
9.3,90.0,1.0,4.0,0,0,0,0,Căn hộ chung cư,8.0,5.180580675868634,Hai Bà Trưng
19.5,55.0,5.0,7.0,1,1,1,1,Nhà mặt phố,6.0,4.2,Hoàng Mai
26.0,50.0,7.0,10.0,1,1,1,1,Nhà mặt phố,20.0,4.0,Ba Đình
5.95,31.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.180580675868634,Hai Bà Trưng
11.8,45.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,4.0,4.0,Hai Bà Trưng
11.5,50.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,5.0,Hai Bà Trưng
5.46,34.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,2.0,3.5,Hoàng Mai
6.95,40.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,3.0,4.0,Hoàng Mai
10.2,46.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,4.0,3.5,Hoàng Mai
5.9,30.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,4.0,Hai Bà Trưng
10.2,46.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,4.0,4.0,Hoàng Mai
13.6,47.0,6.0,4.0,1,1,1,1,Nhà mặt phố,5.0,5.180580675868634,Long Biên
5.2,60.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,5.0,6.0,Ngoại thành
17.9,45.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,4.0,4.1,Đống Đa
14.5,50.0,6.0,6.0,1,1,1,1,Nhà mặt phố,5.0,3.5,Hoàng Mai
20.5,50.0,4.0,5.0,1,1,1,1,Nhà mặt phố,8.0,6.3,Cầu Giấy
17.9,65.0,3.0,4.0,1,1,1,1,Nhà trong hẻm,5.0,5.0,Cầu Giấy
24.5,85.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,10.0,5.0,Hai Bà Trưng
10.0,70.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.180580675868634,Cầu Giấy
5.999,30.0,4.0,4.0,1,1,1,0,Nhà mặt phố,2.0,3.5,Hoàng Mai
2.2,79.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,4.5,Ngoại thành
1.8,79.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,4.0,Ngoại thành
15.0,200.0,1.0,10.0,1,1,1,1,Nhà mặt phố,6.0,5.180580675868634,Ngoại thành
2.8,100.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.0,5.5,Ngoại thành
12.3,38.0,5.0,6.0,0,0,0,0,Nhà mặt phố,10.0,5.180580675868634,Thanh Xuân
45.0,82.0,10.0,8.0,0,0,0,0,Nhà mặt phố,20.0,5.180580675868634,Thanh Xuân
6.6,44.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.180580675868634,Tây Hồ
15.4,55.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,7.0,4.1,Thanh Xuân
18.0,183.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,13.5,Đông Anh
10.5,65.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.180580675868634,Tây Hồ
13.0,60.0,5.0,3.0,1,1,1,1,Nhà mặt phố,5.0,5.180580675868634,Thanh Xuân
6.65,36.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,2.0,5.4,Long Biên
6.0,35.0,5.0,4.0,1,1,1,0,Nhà mặt phố,3.0,5.180580675868634,Bắc Từ Liêm
7.1,45.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,4.0,5.180580675868634,Tây Hồ
5.75,42.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.4,5.180580675868634,Nam Từ Liêm
